date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:38:29	12429/12429	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Nov%202018%2016:41:26%20GMT	http://preview.uideck.com/items/material/404.html	C:/My%20Web%20Sites/a/preview.uideck.com/items/material/404.html	(from http://preview.uideck.com/items/material/)
11:38:29	25706/25706	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Nov%202018%2016:41:42%20GMT	http://preview.uideck.com/items/material/tab.html	C:/My%20Web%20Sites/a/preview.uideck.com/items/material/tab.html	(from http://preview.uideck.com/items/material/)
11:38:30	14022/14022	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Nov%202018%2016:41:32%20GMT	http://preview.uideck.com/items/material/alert.html	C:/My%20Web%20Sites/a/preview.uideck.com/items/material/alert.html	(from http://preview.uideck.com/items/material/)
11:38:30	26216/26216	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Nov%202018%2016:41:24%20GMT	http://preview.uideck.com/items/material/accordion.html	C:/My%20Web%20Sites/a/preview.uideck.com/items/material/accordion.html	(from http://preview.uideck.com/items/material/)
11:38:31	17520/17520	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Nov%202018%2016:41:23%20GMT	http://preview.uideck.com/items/material/pricing.html	C:/My%20Web%20Sites/a/preview.uideck.com/items/material/pricing.html	(from http://preview.uideck.com/items/material/)
11:38:31	16842/16842	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Nov%202018%2016:41:15%20GMT	http://preview.uideck.com/items/material/buttons.html	C:/My%20Web%20Sites/a/preview.uideck.com/items/material/buttons.html	(from http://preview.uideck.com/items/material/)
11:38:32	15783/15783	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Nov%202018%2016:41:39%20GMT	http://preview.uideck.com/items/material/icons.html	C:/My%20Web%20Sites/a/preview.uideck.com/items/material/icons.html	(from http://preview.uideck.com/items/material/)
11:38:32	20433/20433	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Nov%202018%2016:41:27%20GMT	http://preview.uideck.com/items/material/carousel.html	C:/My%20Web%20Sites/a/preview.uideck.com/items/material/carousel.html	(from http://preview.uideck.com/items/material/)
11:38:33	13643/13643	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Nov%202018%2016:41:29%20GMT	http://preview.uideck.com/items/material/counter.html	C:/My%20Web%20Sites/a/preview.uideck.com/items/material/counter.html	(from http://preview.uideck.com/items/material/)
11:38:34	12512/12512	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Nov%202018%2016:41:16%20GMT	http://preview.uideck.com/items/material/map.html	C:/My%20Web%20Sites/a/preview.uideck.com/items/material/map.html	(from http://preview.uideck.com/items/material/)
11:38:34	16596/16596	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Nov%202018%2016:41:30%20GMT	http://preview.uideck.com/items/material/portfolio-2.html	C:/My%20Web%20Sites/a/preview.uideck.com/items/material/portfolio-2.html	(from http://preview.uideck.com/items/material/)
11:38:34	16534/16534	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Nov%202018%2016:41:43%20GMT	http://preview.uideck.com/items/material/portfolio.html	C:/My%20Web%20Sites/a/preview.uideck.com/items/material/portfolio.html	(from http://preview.uideck.com/items/material/)
11:38:35	15872/15872	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Nov%202018%2016:41:20%20GMT	http://preview.uideck.com/items/material/portfolio-single.html	C:/My%20Web%20Sites/a/preview.uideck.com/items/material/portfolio-single.html	(from http://preview.uideck.com/items/material/)
11:38:35	22639/22639	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Nov%202018%2016:41:17%20GMT	http://preview.uideck.com/items/material/blog.html	C:/My%20Web%20Sites/a/preview.uideck.com/items/material/blog.html	(from http://preview.uideck.com/items/material/)
11:38:36	20449/20449	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Nov%202018%2016:41:34%20GMT	http://preview.uideck.com/items/material/blog-single.html	C:/My%20Web%20Sites/a/preview.uideck.com/items/material/blog-single.html	(from http://preview.uideck.com/items/material/)
11:38:36	155/155	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2022%20Feb%202019%2006:08:38%20GMT	http://preview.uideck.com/items/material/about.html	C:/My%20Web%20Sites/a/preview.uideck.com/items/material/about.html	(from http://preview.uideck.com/items/material/)
